,the,of,to,in,and
2010,0.0,0.0,0.0,0.0,0.0001487761554120953
2011,4.81649604550648e-05,0.0,0.0,0.0,0.00016423135384639853
2012,4.936824253469521e-05,0.0,0.0,0.0,0.00013466741352032436
2013,0.5256081793180267,0.5269917142044614,0.3216135892949003,0.282932674741465,0.2548213830833336
2014,0.5312585658429293,0.5248890512525293,0.32352729875894054,0.28014700215476634,0.25901312020952477
2015,0.5396410622695835,0.5186894860332135,0.3218999856532716,0.2844502228925212,0.25127195712565414
2016,0.0,0.0,0.0,0.0,4.734686354431941e-05
2017,0.0,0.0,0.0,0.0,3.95864560194107e-05
2018,0.0,0.0,0.0,0.0,3.831172987954854e-05
2019,0.0,0.0,0.0,0.0,0.0
